threshold,score,balanced_accuracy,macro_f1,failure_recall,success_recall,min_class_recall,actual_failure_rate,predicted_failure_rate,class_rate_gap,false_success,false_failure
0.05,0.9724070450097848,0.8287671232876712,0.6608451582722594,1.0,0.6575342465753424,0.6575342465753424,0.16091954022988506,0.4482758620689655,0.28735632183908044,0,25
0.06,0.9438356164383562,0.8341487279843445,0.7044836956521738,0.9285714285714286,0.7397260273972602,0.7397260273972602,0.16091954022988506,0.367816091954023,0.20689655172413793,1,19
0.07,0.9438356164383562,0.8478473581213307,0.7262237762237762,0.9285714285714286,0.7671232876712328,0.7671232876712328,0.16091954022988506,0.3448275862068966,0.18390804597701152,1,17
0.08,0.9438356164383562,0.8752446183953033,0.7727611940298508,0.9285714285714286,0.821917808219178,0.821917808219178,0.16091954022988506,0.2988505747126437,0.13793103448275865,1,13
0.09,0.9438356164383562,0.8889432485322897,0.7979876160990712,0.9285714285714286,0.8493150684931506,0.8493150684931506,0.16091954022988506,0.27586206896551724,0.11494252873563218,1,11
0.09999999999999999,0.9152641878669276,0.8532289628180039,0.7768790688498718,0.8571428571428571,0.8493150684931506,0.8493150684931506,0.16091954022988506,0.26436781609195403,0.10344827586206898,2,11
0.10999999999999999,0.9152641878669276,0.8532289628180039,0.7768790688498718,0.8571428571428571,0.8493150684931506,0.8493150684931506,0.16091954022988506,0.26436781609195403,0.10344827586206898,2,11
0.12,0.9152641878669276,0.8532289628180039,0.7768790688498718,0.8571428571428571,0.8493150684931506,0.8493150684931506,0.16091954022988506,0.26436781609195403,0.10344827586206898,2,11
0.13,0.9152641878669276,0.8532289628180039,0.7768790688498718,0.8571428571428571,0.8493150684931506,0.8493150684931506,0.16091954022988506,0.26436781609195403,0.10344827586206898,2,11
0.13999999999999999,0.9152641878669276,0.8669275929549902,0.8032887975334019,0.8571428571428571,0.8767123287671232,0.8571428571428571,0.16091954022988506,0.2413793103448276,0.08045977011494254,2,9
0.14999999999999997,0.9152641878669276,0.8669275929549902,0.8032887975334019,0.8571428571428571,0.8767123287671232,0.8571428571428571,0.16091954022988506,0.2413793103448276,0.08045977011494254,2,9
0.15999999999999998,0.8866927592954991,0.8312133072407044,0.780672268907563,0.7857142857142857,0.8767123287671232,0.7857142857142857,0.16091954022988506,0.22988505747126436,0.06896551724137931,3,9
0.16999999999999998,0.8866927592954991,0.8312133072407044,0.780672268907563,0.7857142857142857,0.8767123287671232,0.7857142857142857,0.16091954022988506,0.22988505747126436,0.06896551724137931,3,9
0.18,0.8866927592954991,0.8312133072407044,0.780672268907563,0.7857142857142857,0.8767123287671232,0.7857142857142857,0.16091954022988506,0.22988505747126436,0.06896551724137931,3,9
0.19,0.8866927592954991,0.8380626223091976,0.7943262411347518,0.7857142857142857,0.8904109589041096,0.7857142857142857,0.16091954022988506,0.21839080459770116,0.057471264367816105,3,8
0.19999999999999996,0.8866927592954991,0.8449119373776908,0.8085387323943662,0.7857142857142857,0.9041095890410958,0.7857142857142857,0.16091954022988506,0.20689655172413793,0.04597701149425287,3,7
0.20999999999999996,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.21999999999999997,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.22999999999999998,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.24,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.24999999999999994,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.25999999999999995,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.26999999999999996,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.27999999999999997,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.29,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.3,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.30999999999999994,0.8866927592954991,0.8654598825831703,0.8551724137931034,0.7857142857142857,0.9452054794520548,0.7857142857142857,0.16091954022988506,0.1724137931034483,0.011494252873563232,3,4
0.31999999999999995,0.8866927592954991,0.8723091976516634,0.8723091976516634,0.7857142857142857,0.958904109589041,0.7857142857142857,0.16091954022988506,0.16091954022988506,0.0,3,3
0.32999999999999996,0.8866927592954991,0.8723091976516634,0.8723091976516634,0.7857142857142857,0.958904109589041,0.7857142857142857,0.16091954022988506,0.16091954022988506,0.0,3,3
0.33999999999999997,0.8866927592954991,0.8723091976516634,0.8723091976516634,0.7857142857142857,0.958904109589041,0.7857142857142857,0.16091954022988506,0.16091954022988506,0.0,3,3
0.3499999999999999,0.8581213307240705,0.8365949119373777,0.8465608465608465,0.7142857142857143,0.958904109589041,0.7142857142857143,0.16091954022988506,0.14942528735632185,0.011494252873563204,4,3
